analysis,bootstrap_unit,domain,method,condition,metric,n_boot,n,mean,median,ci95_lo,ci95_hi,n_parent_events
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.5;failure_mode=iid,risk_delivery,10000.0,1350.0,0.5460596284357012,0.5765267771684724,0.5340888245163816,0.5577322696869434,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.5;failure_mode=iid,p95_latency_ms,10000.0,1321.0,454.9178494119748,444.8783330386546,448.9260285120584,460.85373582291083,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.5;failure_mode=iid,constraint_violation,10000.0,1350.0,0.8911111111111111,1.0,0.8740740740740741,0.9074074074074074,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.5;failure_mode=iid,overhead_proxy,10000.0,1350.0,0.9929629629629629,1.0,0.9896296296296296,0.9959259259259259,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.5;failure_mode=spatial,risk_delivery,10000.0,1350.0,0.5401185877935895,0.5771933838527217,0.5217861919792814,0.5589640282030411,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.5;failure_mode=spatial,p95_latency_ms,10000.0,1224.0,458.3823038931814,451.3620325281418,452.1964851817805,464.6423201995412,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.5;failure_mode=spatial,constraint_violation,10000.0,1350.0,0.6814814814814815,1.0,0.6562962962962963,0.705925925925926,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.5;failure_mode=spatial,overhead_proxy,10000.0,1350.0,0.8862962962962962,1.0,0.8751851851851852,0.8974074074074074,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.0,risk_delivery,10000.0,1350.0,0.7105542175006445,0.8181980863565093,0.6942593513073481,0.7263730928272293,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.0,p95_latency_ms,10000.0,1307.0,403.40753249980634,396.5450694807566,397.46694830064797,409.13879792663755,
